Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
חולון,,224B1103061,מגרש כדורסל – 19X32 מ',חורשת נווה ארזים,נוה ארזים,מלאכי,,180810.0,658470.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224A2103055,מתקן פתוח לכושר גופני,חורשת נווה ארזים,נוה ארזים,מלאכי,,180830.0,658470.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224G3106643,אולם ספורט בינוני – 32x19 מ',מרכז הספורט בגין,קרית אילון,מוטה גור,7,179550.0,657330.0,,חולון,מח' הספורט,03-6520020,zina@reholon.co.il,300.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006.0,קוגל,High,1,1,4.0,19.0
חולון,,224B2108194,מגרש ספורט משולב – 43X32 מ',תיכון קוגל,קרית אילון,מוטה גור,7,179510.0,657390.0,,חולון,עיריית חולון,,,,מבוקר ועד לילה,לא,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2017.0,קוגל,High,0,0,4.0,8.0
חולון,,224A2102566,מתקן פתוח לכושר גופני,גן העצמאות,גסי' כהן,ישעיהו,,180550.0,658360.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G4102815,אולם ספורט גדול - 45X24 מ',היכל קציר,קרית רבין,יצחק רבין,20,178520.0,656670.0,,חולון,המחלקה לספורט,03-5540853,shirly@reholon.co.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2004.0,קציר,Low,1,1,4.0,21.0
חולון,,224B2102805,מגרש ספורט משולב – 43X32 מ',היכל קציר,קרית רבין,יצחק רבין,20,178490.0,656710.0,,חולון,המחלקה לספורט,03-5540853,shirly@reholon.co.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2004.0,קציר,Low,1,1,4.0,21.0
חולון,,224B2102808,מגרש ספורט משולב – 43X32 מ',היכל קציר,קרית רבין,יצחק רבין,20,178460.0,656750.0,,חולון,המחלקה לספורט,03-5540853,shirly@reholon.co.il,,בתיאום בלבד,כן,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,קציר,Low,1,0,4.0,
חולון,,224A2107928,מתקן פתוח לכושר גופני,קרית רבין,קרית רבין,יצחק רבין,,178450.0,656640.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G1101257,אולם ספורט קטן – 20x10 מ',אורט מיטרני,,יטבתה,7,177740.0,657440.0,,חולון,,,,,בוקר בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,אורט מיטרני,Medium,1,1,4.0,
חולון,,224B1101696,מגרש כדורסל – 19X32 מ',"בי""ס שרת",קרית שרת,יום הכיפורים,14,180040.0,657300.0,,חולון,מח' הספורט,03-6337955,limor@reholon.co.il,,פתוח ללא הגבלה,לא,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,0,0,4.0,
חולון,,224G1106962,אולם ספורט קטן – 20x10 מ',"מתנ""ס נווה ארזים",נוה ארזים,חנניה,,180580.0,658333.0,,חולון,רשת קהילה,03-5506772,orit@holon.matnasim.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,High,1,1,4.0,
חולון,,224B1106961,מגרש כדורסל – 19X32 מ',"מתנ""ס נווה ארזים",נוה ארזים,חנניה,,180550.0,658340.0,,חולון,רשת קהילה,03-5506772,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G1103391,אולם ספורט קטן – 20x10 מ',כרם שלמה,,חזית חמש,10,177610.0,659690.0,,חולון,,,,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,כרם שלמה,Low,1,1,4.0,
חולון,,224B1103380,מגרש כדורסל – 19X32 מ',כרם שלמה,,חזית חמש,10,177620.0,659710.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,כרם שלמה,Very High,1,0,4.0,
חולון,,224B2101602,מגרש ספורט משולב – 43X32 מ',"בי""ס המגינים",תל גיבורים,חזית חמש,2,177630.0,659910.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,המגינים,Very High,1,0,4.0,
חולון,,224E1102591,מגרש פטאנק או כדורת דשא,גן יוספטל,,ויצמן,61,178480.0,658070.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224A2102596,מתקן פתוח לכושר גופני,גן יוספטל,,ויצמן,61,178480.0,658070.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224B2101642,מגרש ספורט משולב – 43X32 מ',"בי""ס נאות שושנים",נאות שושנים,התחיה,18,179450.0,657990.0,,חולון,רשת קהילה,03-5503977,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224G1101611,אולם ספורט קטן – 20x10 מ',"בי""ס התבור",,התבור,2,179910.0,658610.0,,חולון,רשת קהילה,03-5506772,orit@holon.matnasim.co.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,התבור,Low,1,1,4.0,
חולון,,224B2101612,מגרש ספורט משולב – 43X32 מ',"בי""ס התבור",,התבור,2,179900.0,658630.0,,חולון,רשת קהילה,03-5506772,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,התבור,Very High,1,0,4.0,
חולון,,224B1102581,מגרש כדורסל – 19X32 מ',גן השומרון,מרכז,השומרון,,178930.0,659370.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224A2102943,מתקן פתוח לכושר גופני,ח-63,קרית שרת,הר הצופים,33,180660.0,657160.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224G1101598,אולם ספורט קטן – 20x10 מ',"בי""ס הדמוקרטי",,הערבה,8,177780.0,557730.0,,חולון,,,,,בוקר בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,הדמוקרטי,Medium,1,1,4.0,
חולון,,224B1101599,מגרש כדורסל – 19X32 מ',"בי""ס הדמוקרטי",,הערבה,8,177770.0,657700.0,,חולון,,,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,הדמוקרטי,Very High,1,1,4.0,
חולון,,224A2102600,מתקן פתוח לכושר גופני,גן סנהדרין,גסי' כהן,הסנהדרין,,178110.0,656850.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G3106723,אולם ספורט בינוני – 32x19 מ',מרכז ספורט קנטור,גסי כהן,הסבוראים,2,177700.0,656940.0,,חולון,רשת קהילה,03-6510307,orit@holon.matnasim.co.il,250.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,,ויצמן,High,1,1,4.0,
חולון,,224R1102753,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),החלקה לגלגליות פארק הנוער,תל גיבורים,המצודה,20,178180.0,660220.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224A2107588,מתקן פתוח לכושר גופני,פארק הנוער,תל גיבורים,המצודה,20,178180.0,660220.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G1101587,אולם ספורט קטן – 20x10 מ',"בי""ס גורדון",,החייל,16,178190.0,657960.0,,חולון,רשת קהילה,03-5035499,orit@holon.matnasim.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,גורדון,High,1,1,4.0,
חולון,,224B2101588,מגרש ספורט משולב – 43X32 מ',"בי""ס גורדון",,החייל,16,178170.0,657970.0,,חולון,רשת קהילה,03-5035499,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,גורדון,Very High,0,1,4.0,
חולון,,224B1102574,מגרש כדורסל – 19X32 מ',גן הרצל א',מרכז,ההסתדרות פינת ויצמן,,178520.0,658520.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224G1102846,אולם ספורט קטן – 20x10 מ',הפועל חולון ענפים,מרכז,ההסתדרות,,178280.0,658610.0,,,הפועל חולון ענפים,03-5023345,,,"אחה""צ ולילה",כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1964.0,,,1,1,4.0,61.0
חולון,,224F1107726,מגרש כדורגל – 45X90 מ',צפרירים חולון - נוער,מרכז,ההסתדרות,,178250.0,658540.0,,,צפרירים חולון,050-5751077,,,"אחה""צ ולילה",כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1960.0,,,1,1,4.0,65.0
חולון,,224B2108191,מגרש ספורט משולב – 43X32 מ',תיכון עתידים,מרכז,ההסתדרות,20,178280.0,658380.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,עתידים,Very High,1,0,4.0,
חולון,,224M1101614,מגרש מיני פיץ',"בי""ס ויצמן",גסי כהן,האמוראים,4,177710.0,657080.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ויצמן,Very High,1,0,4.0,
חולון,,224A2102614,מתקן פתוח לכושר גופני,גן מנחם בגין,קרית אילון,דוד אלעזר,73,179760.0,656960.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224A2102818,מתקן פתוח לכושר גופני,"המפוזר מכפר אז""ר",קרית אילון,דוד אלעזר,69,179750.0,657050.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224A2102567,מתקן פתוח לכושר גופני,גן דובנוב,מפדה,דובנוב,,180220.0,658700.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G1101573,אולם ספורט קטן – 20x10 מ',"בי""ס בן גוריון",קרית בן גוריון,גרינברג,6,177950.0,656200.0,,חולון,רשת קהילה,03-5528490,orit@holon.matnasim.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,בן גוריון,High,1,1,4.0,
חולון,,224B1103046,מגרש כדורסל – 19X32 מ',חורשת היובל,קרית בן גוריון,גרינברג,,177810.0,656200.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224B2101574,מגרש ספורט משולב – 43X32 מ',"בי""ס בן גוריון",קרית בן גוריון,גרינברג,6,177940.0,656230.0,,חולון,רשת קהילה,03-5528490,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,בן גוריון,Very High,1,1,4.0,
חולון,,224G4106746,אולם ספורט גדול - 45X24 מ',מרכז פיס לספורט קרית שרת,קרית שרת,גבעת התחמושת,27,180360.0,657040.0,,חולון,מח' הספורט,03-6337955,limor@reholon.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1987.0,קרית שרת,High,1,1,4.0,38.0
חולון,,224M1106747,מגרש מיני פיץ',מרכז פיס לספורט קרית שרת,קרית שרת,גבעת התחמושת,27,180360.0,657000.0,,חולון,מח' הספורט,03-6337955,limor@reholon.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2005.0,קרית שרת,High,1,1,4.0,20.0
חולון,,224B2106748,מגרש ספורט משולב – 43X32 מ',מרכז פיס לספורט קרית שרת,קרית שרת,גבעת התחמושת,27,180400.0,656990.0,,חולון,מח' הספורט,03-6337955,limor@reholon.co.il,,מבוקר ועד לילה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1992.0,קרית שרת,High,1,1,4.0,33.0
חולון,,224B2106960,מגרש ספורט משולב – 43X32 מ',"מתנ""ס נאות שושנים",נאות שושנים,גאולים,54,179790.0,657970.0,,חולון,רשת קהילה,03-5018718,orit@holon.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,1,4.0,
חולון,,224G3106742,אולם ספורט בינוני – 32x19 מ',מרכז פיס גולדה,,ברקת,3,178960.0,657570.0,,חולון,מח' הספורט,03-5041414,osnat@reholon.co.il,300.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1984.0,גולדה,High,1,1,4.0,41.0
חולון,,224G2102088,אולם ספורט קטן – 15x24 מ',בריזה,,ברקת,3,179020.0,657570.0,,,החברה לבידור ובילוי,,,200.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994.0,,High,1,1,4.0,31.0
חולון,,224B2103070,מגרש ספורט משולב – 43X32 מ',"חט""ב גולדה",,ברקת,3,178900.0,657580.0,,חולון,מח' הספורט,03-5041414,osnat@reholon.co.il,,"אחה""צ ולילה",כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2010.0,גולדה,,1,1,4.0,15.0
חולון,,224A2106886,מתקן פתוח לכושר גופני,משולש הכושר,,ברקת,12,178850.0,657540.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2016.0,,Very High,1,1,4.0,9.0
חולון,,224G1101621,אולם ספורט קטן – 20x10 מ',"בי""ס ישורון",,בן יהודה,7,179410.0,659010.0,,חולון,,,,,בוקר בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ישורון,Medium,1,1,4.0,
חולון,,224B1101622,מגרש כדורסל – 19X32 מ',"בי""ס ישורון",,בן יהודה,7,179420.0,659020.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ישורון,Very High,1,0,4.0,
חולון,,224G1101567,אולם ספורט קטן – 20x10 מ',"בי""ס ביאליק",,ביאליק,21,178900.0,658650.0,,חולון,רשת קהילה,03-5503977,orit@holon.matnasim.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ביאליק,High,1,1,4.0,
חולון,,224B1101568,מגרש כדורסל – 19X32 מ',"בי""ס ביאליק",,ביאליק,21,178910.0,658660.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ביאליק,Very High,1,0,4.0,
חולון,,224G1101693,אולם ספורט קטן – 20x10 מ',"בי""ס שנקר",,אחד העם,10,179350.0,658370.0,,חולון,רשת קהילה,03-5031545,orit@holon.matnasim.co.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Low,1,1,4.0,
חולון,,224G4102845,אולם ספורט גדול - 45X24 מ',הפועל חולון,מרכז,אחד במאי,42,178310.0,656320.0,,,הפועל חולון,03-5059226,,2500.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1974.0,עתידים וקרית שרת,High,1,1,4.0,51.0
חולון,,224G1101623,אולם ספורט קטן – 20x10 מ',"בי""ס ישעיהו",מרכז,אחד במאי,56,178210.0,658190.0,,חולון,רשת קהילה,03-5018718,orit@holon.matnasim.co.il,,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ישעיהו,High,1,1,4.0,
חולון,,224B1101624,מגרש כדורסל – 19X32 מ',"בי""ס ישעיהו",מרכז,אחד במאי,56,178240.0,658180.0,,חולון,,,,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,ישעיהו,Very High,1,0,4.0,
חולון,,224B1102582,מגרש כדורסל – 19X32 מ',גן חצרים,נאות רחל,,,177850.0,658140.0,,חולון,גנים ונוף,03-5027422,sigis@holon.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
חולון,,224G4409098,אולם ספורט גדול - 45X24 מ',היכל טוטו חולון,,שדרות ירושלים,225,181224.0,656794.0,,חולון,עיריית חולון,,,5000.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",משחקים בינלאומיים,2015.0,,Low,1,1,4.0,10.0
חולון,,224G1101974,אולם ספורט קטן – 20x10 מ',בית ספר דינור,,,,178159.0,658578.0,,חולון,עיריית חולון,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,,,Low,0,0,4.0,
חולון,,224B1101975,מגרש כדורסל – 19X32 מ',בית ספר דינור,,,,178155.0,658569.0,,חולון,עיריית חולון,,,,"אחה""צ בלבד",לא,לא,לא,לא,תקין ופעיל,,,,,,0,0,4.0,
חולון,,224G1103052,אולם ספורט קטן – 20x10 מ',"חט""ב ארן",,,,180753.0,657443.0,,חולון,עיריית חולון,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,,,Low,0,0,4.0,
חולון,,224G1103054,אולם ספורט קטן – 20x10 מ',"חט""ב אלון",,,,179936.0,657229.0,,חולון,עיריית חולון,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,1996.0,,Low,0,0,4.0,29.0
חולון,,224B1103059,מגרש כדורסל – 19X32 מ',"חט""ב אלון",,,,179945.0,657241.0,,חולון,עיריית חולון,,,,"אחה""צ בלבד",לא,לא,לא,לא,תקין ופעיל,,,,,,0,0,4.0,
חולון,,224B1103060,מגרש כדורסל – 19X32 מ',"חט""ב ארן",,,,657460.0,180727.0,,חולון,עיריית חולון,,,,"אחה""צ בלבד",לא,לא,לא,לא,תקין ופעיל,,,,,,0,0,4.0,
חולון,,224B2103053,מגרש ספורט משולב – 43X32 מ',"חט""ב ארן",,,,180731.0,657214.0,,חולון,עיריית חולון,,,,"אחה""צ בלבד",לא,לא,לא,לא,תקין ופעיל,,,1995.0,,,0,0,4.0,30.0
חולון,,224B1103062,מגרש כדורסל – 19X32 מ',"חט""ב ארן",,,,657232.0,180715.0,,חולון,עיריית חולון,,,,"אחה""צ בלבד",לא,לא,לא,לא,תקין ופעיל,,,1995.0,,,0,0,4.0,30.0
חולון,,224P1107329,בריכת שחיה - 25X12.5 מ',נפשונית,,,,178379.0,655821.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,1992.0,,,0,0,4.0,33.0
חולון,,224T1107334,מגרש טניס,נפשונית,,,,178381.0,655813.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,1992.0,,,0,0,4.0,33.0
חולון,,224B2107331,מגרש ספורט משולב – 43X32 מ',נפשונית,בן גוריון,,,178381.0,655813.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,1992.0,,,0,0,4.0,33.0
חולון,,224A1107324,מכון לכושר גופני,נפשונית,,,,178381.0,655813.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,1992.0,,,0,0,4.0,33.0
חולון,,224M1102096,מגרש מיני פיץ',בריזה,,,,178992.0,657520.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,2017.0,,,0,0,4.0,8.0
חולון,,224P1102106,בריכת שחיה - 25X12.5 מ',בריזה,,,,178992.0,657520.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,2000.0,,,0,0,4.0,25.0
חולון,,224A1102095,מכון לכושר גופני,בריזה,,,,178992.0,657520.0,,חולון,עיריית חולון,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,2000.0,,,0,0,4.0,25.0
חולון,,224F1309087,מגרש כדורגל – 45X90 מ',קרית הספורט,,,,177080.0,656815.0,,חולון,עיריית חולון,,meitavp@reh.co.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,1984.0,,Low,1,1,4.0,41.0
חולון,,224F4309088,"אצטדיון/מסלול אתלטיקה קלה – תקני 8 מסלולים, 400 מ'",קרית הספורט,,,,177285.0,656735.0,,חולון,עיריית חולון,,meitavp@reh.co.il,2500.0,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,,ליגה מקומית ואיזורית,1984.0,,Low,1,1,4.0,41.0
חולון,,224F2209089,מגרש כדורגל - לא תקני,קרית הספורט,,,,177306.0,656900.0,,חולון,עיריית חולון,,meitavp@reh.co.il,,בתיאום בלבד,כן,לא,לא,כן,פעיל וזקוק לשיפוץ,,,2000.0,,Low,1,0,3.0,25.0
חולון,,224X1409090,מתקן אקסטרים,מתחם קירות טיפוס,,,,181177.0,656908.0,,,יזם פרטי,050668291,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2019.0,,,1,1,4.0,6.0
חולון,,224X1409091,מתקן אקסטרים,אייס פארק - החלקה על הקרח,,,,181186.0,656819.0,,,יזם פרטי,,,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2014.0,,Low,1,1,4.0,11.0
